;Frage ;Richtige Antwort;Alternative 1;Alternative 2
1;An welchem Fluss liegt Dresden?;Elbe;Donau;Main
2;Wie heißt Dresdens berühmteste Grünanlage?;Großer Garten;Kleiner Garten;Botanischer Garten
3;Welcher Name ist auf keinem Dampfer zu finden?;Hamburg;Leipzig;Pillnitz
4;Wie wird die Kunsthochschule Dresdens umgangssprachlich noch genannt?;Zitronenpresse;Malerwerkstadt;Engelshaus
5;Wann findet in Dresden der jährliche Opernball statt?;Januar;Juli;März
6;Wann wurde die Frauenkirche wieder aufgebaut?;1996 bis 2005;1976 bis 1985;2001 bis 2006
7;Was ist auf Dresdens Wappen abgebildet? ;Ein Löwe;Die Frauenkirche;Ein Adler
8;Der Dresdner Stiezelmarkt ist der älteste Weihnachtsmarkt von…?;Deutschland;Sachsen;Europa
9;Welche Dresdner Elbbrücke ist mit 635 Metern die längste?;Waldschlösschenbrücke;Autobahnbrücke;Carolabrücke
10;Über welche Dresdner Elbbrücke führt der Sächsische Jakobsweg?;Augustusbrücke;Blaues Wunder;Albertbrücke
11;In welchem Bundesland liegt Dresden?;Sachsen;Berlin;Bayern
12;Wie heißt Dresdens Oper?;Semperoper;Bolschoi Theater;Royal Opera House
13;Welcher Epoche ist die Frauenkirche zuzuordnen?;Barock;Rennaissance;Neuzeit
14;"Woher kommt der Name ""Zwinger""?";Bezeichnung für einen Festungsteil;Gefängnis;Hundezucht
15;Welches dieser Museen liegt in Dresden?;Leonhardi-Museum;Neue Pinakothek;Textilmuseum
16;"Wo wurde der Film ""3 Haselnüsse für Aschenbrödel"" gefilmt?";Moritzburg;Radeberg ;Prag
17;Was war Erich Kästner von Beruf?;Schriftsteller;Maler ;Ritter
18;Wie heißt die älteste Steinbrücke?;Augustusbrücke;Waldschlösschenbrücke;Steinerne Brücke
19;Wie viele Bögen hat die Augustusbrücke?;24;10;33
20;Wie groß sind die Heiligenstatuen auf dem Dach der Hofkirche?;3,5 Meter;1 Meter;2 Meter
21;Wie heißt Dresdens Marktplatz?;Neumarkt;Großer Platz;Markusplatz
22;Wie heißt das bekannte Schloss in Dresden?;Residenzschloss;Schloss Versailles;Schloss Nymphenburg
23;Was ist die Dresdner Kuchenspezialität?;Eierschecke;Sachertorte;Schwarzwälderkirsch
24;Wie wird die Loschwitzer Brücke noch genannt?;Das blaue Wunder;Tor zum Himmel;Elbbrücke
25;Was ist ein Stadtteil von Dresden?;Gruna;Schwabing;Kreuzberg
26;Wie heißt eine der Partnerstädte Dresdens?;Breslau;Augsburg;Paris
27;Welche Farbe ist im Wappen des Freistaats Sachsen enthalten?;Grün;Blau ;Rot
28;Wie viele Kilometer sind es von Dresden nach Berlin?;200;100;250
29;Welche Mundwassermarke kommt aus Dresden?;Odol;Dontodent;Meridol
30;Welcher dieser Stadtteile ist nicht erfunden?;Wilder Mann;Wilde Sau;Wilde Hilde
31;Was ist die größte sächsische Stadt?;Leipzig;Dresden;Chemnitz
32;Aus wie viel Grün- und Waldfläche besteht Dresden?;63 Prozent;30 Prozent;44 Prozent
33;Wie viele Naturschutzgebiete gibt es im Stadtgebiet?;4;1;6
34;Wodurch werden die Stadtteile Loschwitz und Oberloschwitz verbunden?;Eine Schwebebahn ;Shuttlebusse;Eine Brücke
35;Wie hoch ist der Dresdner Fernsehturm?;252 Meter;165 Meter;212 Meter
36;Wen bildet der goldene Reiter ab?;August der starke;Den Bürgermeister;Ludwig der große
37;Aug was für einem Tier reitet der goldene Reiter?;Pferd;Esel;Einhorn
38;Was ist das Autokennzeichen von Dresden?;DD;D;DDH
39;Wo ist Dresdens Szene- und Kneipenviertel?;In der äußeren Neustadt;Auf der Reeper Bahn;Berlin Mitte
40;Wann findet immer das Filmfest statt?;April;August;Oktober
41;Was ist ein Pflaumentoffel?;Essbare Figur aus Pflaumen;Ein Dummkopf;Ein Krapfen
42;Wie viele Touristen kommen jährlich nach Dresden?;7 Millionen;11 Millionen;4 Millionen
43;"Wer produziert in der ""gläsernen Manufaktur""?";Volkswagen;Audi;BMW
44;In welcher Straße befinden sich die teuersten Geschäfte?;Königsstraße;Holzhofgasse;Arnulfstraße
45;Welcher bekannte Fahrradweg führt durch Dresden?;Elberadweg;Dresdner Radweg;Sachsen Radweg
46;Wie viele Terminals hat der Dresdner Flughafen?;Eines;Zwei;Es gibt keinen Flughafen
47;Wie heißt das älteste Schloss Deutschlands?;Albrechtsburg;Windsor Castle;Sankt Petersburg
48;Was ist das Panometer?;Ein Kunstobjekt;Eine Aussichtsplattform;Ein Messgerät
49;Was kann man an der Hochschule für bildende Künste nicht studieren?;Historik;Bildende Kunst;Kunst Therapie
50;Wo kann man in Dresden gut shoppen gehen?;Am Hauptbahnhof;In der Dresdner Heide;Im Alberthafen
